SECTION,LINK
"<a class=""titulo-h2 anchor-bum color-luminati"" name=""item2-1"">2.1 CP Imperative</a>",https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Post-Launch%20Engineering/Primers/Primer%20on%20Dimensioning%20Principles.pdf
2.3.2.1 Trending Analysis,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Post-Launch%20Engineering/Templates/Capacity%20forecast%20widget.xlsm
2.3.2.1 Trending Analysis,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Post-Launch%20Engineering/Primers/Primer%20on%20Network%20Capacity%20Forecast.pdf
2.3.3.2 Capacity Augment Selection,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Post-Launch%20Engineering/Templates/Capacity%20Assessment%20Widget_v1.xlsx
"<a class=""titulo-h2 anchor-bum color-luminati-3"" name=""item6-1"">6.1 Capacity Management Plan Format &amp; Structure</a>",https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Post-Launch%20Engineering/Templates/Capacity%20Management%20Plan%20Template.docx
