SECTION,LINK
"<a class=""titulo-h2 anchor-bum color-luminati"" name=""item2-6"">2.6 Site Layout Overview</a>",site_construction_mgmt.html
"<a class=""titulo-h2 anchor-bum color-luminati-3"" name=""item4-2"">4.2 Server Rack Layout</a>",https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Network%20Design/Templates/Rack_Management_spreadsheet.xlsx
4.4.5 Documentation,https://github.com/teleworxllc/NaaSRunBook/tree/gh-pages/Network%20Design/Templates/Network-Documentation-Template.xlsx
